Grade,Year,County,Count
Grades Pre-K,2016,Calvert County,398
Grades Pre-K,2016,Caroline County,317
Grades Pre-K,2016,Carroll County,390
Grades Pre-K,2016,Cecil County,656
Grades Pre-K,2016,Charles County,868
Grades Pre-K,2016,Dorchester County,254
Grades Pre-K,2016,Frederick County,1206
Grades Pre-K,2016,Garrett County,195
Grades Pre-K,2016,Harford County,840
Grades Pre-K,2016,Howard County,1290
Grades Pre-K,2016,Kent County,110
Grades Pre-K,2016,Montgomery County,4320
Grades Pre-K,2016,Prince George's County,5771
Grades Pre-K,2016,Queen Anne's County,259
Grades Pre-K,2016,St. Mary's County,939
Grades Pre-K,2016,Somerset County,185
Grades Pre-K,2016,Talbot County,271
Grades Pre-K,2016,Washington County,644
Grades Pre-K,2016,Wicomico County,599
Grades Pre-K,2016,Worcester County,354
Grades Pre-K,2016,Total,30946
Grades K-5,2016,Baltimore City,39594
Grades K-5,2016,Allegany County,3853
Grades K-5,2016,Anne Arundel County,38378
Grades K-5,2016,Baltimore County,52637
Grades K-5,2016,Calvert County,6665
Grades K-5,2016,Caroline County,2542
Grades K-5,2016,Carroll County,10641
Grades K-5,2016,Cecil County,6850
Grades K-5,2016,Charles County,11214
Grades K-5,2016,Dorchester County,2269
Grades K-5,2016,Frederick County,18249
Grades K-5,2016,Garrett County,1628
Grades K-5,2016,Harford County,16671
Grades K-5,2016,Howard County,24619
Grades K-5,2016,Kent County,880
Grades K-5,2016,Montgomery County,71973
Grades K-5,2016,Prince George's County,61246
Grades K-5,2016,Queen Anne's County,3380
Grades K-5,2016,St. Mary's County,8185
Grades K-5,2016,Somerset County,1366
Grades K-5,2016,Talbot County,1966
Grades K-5,2016,Washington County,10120
Grades K-5,2016,Wicomico County,7102
Grades K-5,2016,Worcester County,2838
Grades K-5,2016,Total,404866
Grades 6-8,2016,Baltimore City,16891
Grades 6-8,2016,Allegany County,1855
Grades 6-8,2016,Anne Arundel County,17890
Grades 6-8,2016,Baltimore County,24512
Grades 6-8,2016,Calvert County,3722
Grades 6-8,2016,Caroline County,1241
Grades 6-8,2016,Carroll County,5947
Grades 6-8,2016,Cecil County,3438
Grades 6-8,2016,Charles County,5960
Grades 6-8,2016,Dorchester County,1044
Grades 6-8,2016,Frederick County,9319
Grades 6-8,2016,Garrett County,897
Grades 6-8,2016,Harford County,8508
Grades 6-8,2016,Howard County,12915
Grades 6-8,2016,Kent County,438
Grades 6-8,2016,Montgomery County,35267
Grades 6-8,2016,Prince George's County,27698
Grades 6-8,2016,Queen Anne's County,1787
Grades 6-8,2016,St. Mary's County,3919
Grades 6-8,2016,Somerset County,638
Grades 6-8,2016,Talbot County,970
Grades 6-8,2016,Washington County,5071
Grades 6-8,2016,Wicomico County,3046
Grades 6-8,2016,Worcester County,1450
Grades 6-8,2016,Total,194423
Grades 9-12,2016,Baltimore City,21381
Grades 9-12,2016,Allegany County,2504
Grades 9-12,2016,Anne Arundel County,22858
Grades 9-12,2016,Baltimore County,31167
Grades 9-12,2016,Calvert County,5165
Grades 9-12,2016,Caroline County,1605
Grades 9-12,2016,Carroll County,8278
Grades 9-12,2016,Cecil County,4689
Grades 9-12,2016,Charles County,8348
Grades 9-12,2016,Dorchester County,1249
Grades 9-12,2016,Frederick County,12543
Grades 9-12,2016,Garrett County,1113
Grades 9-12,2016,Harford County,11407
Grades 9-12,2016,Howard County,16814
Grades 9-12,2016,Kent County,573
Grades 9-12,2016,Montgomery County,47450
Grades 9-12,2016,Prince George's County,36099
Grades 9-12,2016,Queen Anne's County,2325
Grades 9-12,2016,St. Mary's County,5024
Grades 9-12,2016,Somerset County,769
Grades 9-12,2016,Talbot County,1386
Grades 9-12,2016,Washington County,6710
